x,y,theta_deg
0,0,1.5708
9.18455e-18,0.15,1.7708
-0.0298004,0.29701,1.9708
-0.0882132,0.435169,2.1708
-0.17291,0.558969,2.3708
-0.280513,0.663475,2.5708
-0.406734,0.744521,2.7708
-0.546539,0.798874,2.9708
-0.694357,0.82437,3.1708
-0.844293,0.81999,3.3708
-0.99037,0.785909,3.5708
-1.12676,0.723487,3.7708
-1.24804,0.635212,3.9708
-1.34936,0.524603,4.1708
-1.42668,0.39607,4.3708
-1.47693,0.254736,4.5708
-1.4981,0.106238,4.7708
-1.48934,-0.0435067,4.9708
-1.45101,-0.188526,5.1708
-1.38463,-0.32304,5.3708
-1.29286,-0.441685,5.5708
-1.17934,-0.539732,5.7708
-1.0486,-0.613271,5.9708
-0.905859,-0.659371,6.1708
-0.756805,-0.676194,6.3708
-0.607381,-0.663069,6.5708
-0.463542,-0.62052,6.7708
-0.331024,-0.550242,6.9708
-0.215109,-0.455038,7.1708
-0.120419,-0.338703,7.3708
-0.0507288,-0.205875,7.5708
-0.00881648,-0.0618498,7.7708
0.00364693,0.0876315,7.9708
-0.0138355,0.236609,8.1708
-0.0605667,0.379144,8.3708
-0.134684,0.509554,8.5708
-0.233232,0.622639,8.7708
-0.352282,0.713892,8.9708
-0.487088,0.779674,9.1708
-0.632276,0.817363,9.3708
-0.782057,0.825456,9.5708
